"name","year","match","pass_comp","pass_att","comp_per","pass_dist","prg_dist","short_comp","short_att","short_per","med_comp","med_att","med_per","long_comp","long_att","long_per","assist","x_assist","assist_shot","third_area","yard_pass","yard_cross","prg_pass","value"
"Bruno Fernandes","1994","25.6","1055","1451","72.7","20423","5854","476","551","86.4","399","510","92","165","328","77.3","6","7.9","77","116","65","13","146","90.000.000 "
"Kevin De Bruyne","1991","16.1","789","1042","75.7","14858","3862","348","407","85.5","328","408","82.6","101","186","50","3","5.2","53","79","41","5","101","90.000.000 "
"Mason Mount","1999","16.8","594","769","77.2","9082","2739","334","379","88.1","182","224","74.6","47","103","58","6","4.1","34","35","32","7","67","75.000.000 "
"Bernardo Silva","1994","25.7","1346","1524","88.3","21103","3323","759","810","93.7","468","524","61.9","88","121","24","2","4.4","43","77","32","6","66","75.000.000 "
"Declan Rice","1999","26","1337","1488","89.9","26784","6483","501","540","92.8","607","658","92.2","213","260","81.9","4","1.8","20","166","25","8","103","75.000.000 "
"Rodri","1996","22.4","1777","1917","92.7","36701","6923","600","636","94.3","863","911","94.7","302","344","87.8","1","1.2","21","166","25","1","127","70.000.000 "
"Wilfred Ndidi","1996","17.6","734","893","82.2","12830","3208","338","393","86","318","359","88.6","65","101","64.4","0","0","0","36","4","0","52","60.000.000 "
"Fabinho","1993","18.9","965","1093","88.3","17801","4092","382","424","90.1","460","500","92.4","102","132","84.8","1","0.7","12","107","13","1","82","60.000.000 "
"Youri Tielemans","1997","19.1","894","1106","80.8","16546","4658","388","442","87.8","388","446","87","103","182","56.6","2","3.3","29","93","20","3","108","55.000.000 "
"Paul Pogba","1993","11.6","565","681","83","11616","3057","227","261","87","215","244","85.5","106","136","68.8","9","3.5","23","85","22","5","78","55.000.000 "
"James Maddison","1996","17.1","435","604","72","7887","2404","200","242","82.6","165","203","90.9","59","133","54.5","3","2.6","23","43","21","3","60","50.000.000 "
"","1991","12.2","632","743","85.1","10706","2891","307","351","87.5","257","292","88","53","66","0","2","1.1","12","51","20","0","74","50.000.000 "
"Tomas Soucek","1995","25.9","818","1039","78.7","15314","3424","353","440","80.2","331","403","82.1","115","160","71.9","1","1.4","14","76","13","3","82","45.000.000 "
"Christian Pulisic","1998","10.4","265","336","78.9","3885","743","169","195","86.7","82","103","88.1","10","16","77.9","1","0.7","10","10","6","0","17","45.000.000 "
"Mateo Kovacic","1994","12.9","764","861","88.7","14197","3256","336","364","92.3","318","347","91.6","98","129","74.2","5","2.6","17","80","17","0","77","45.000.000 "
"Jorginho","1991","18.8","1160","1308","88.7","20497","4984","510","558","91.4","523","567","93.9","105","149","68.1","1","2.1","16","98","25","0","92","45.000.000 "
"","1998","18.3","822","982","83.7","14317","3262","404","454","89","297","335","88.7","96","145","66.2","3","4.2","44","53","43","2","103","42.000.000 "
"Raphinha","1996","23","568","895","63.5","10520","4383","260","320","81.3","203","279","73.7","80","225","40","2","4.8","52","68","33","7","124","40.000.000 "
"","1997","23","1209","1493","81","29206","5947","256","306","83.7","628","713","88.1","317","441","71.9","1","1.5","15","150","21","1","106","40.000.000 "
"Kalvin Phillips","1995","11.1","514","626","82.1","11735","2856","137","165","83","261","281","92.9","111","165","67.3","1","0.2","6","53","8","2","42","40.000.000 "
"Thomas Partey","1993","18.7","847","979","86.5","16566","4109","343","380","90.3","351","394","89.1","140","181","77.3","1","1.2","16","97","12","0","104","40.000.000 "
"","1995","23.5","1405","1591","88.3","27118","7330","559","609","91.8","637","699","91.4","187","247","55.1","2","1.3","18","145","26","2","136","40.000.000 "
"Emile Smith Rowe","2000","15.3","500","586","85.3","7692","1650","274","300","91.3","181","198","89.3","29","64","72.7","2","1.9","22","21","20","0","45","38.000.000 "
"Pedro Neto","2000","1.1","37","54","68.5","571","112","20","21","95.2","15","19","81.3","1","10","45.6","0","0.1","3","0","1","0","3","35.000.000 "
"Douglas Luiz","1998","20.1","739","900","82.1","14304","3875","296","330","89.7","308","358","86","121","186","56.5","3","2","25","48","15","1","61","35.000.000 "
"","1994","2.8","167","198","84.3","2840","480","86","95","90.5","57","69","82.6","20","27","74.1","0","0.2","2","6","1","1","2","35.000.000 "
"Scott McTominay","1996","20.9","823","965","85.3","15645","4064","335","386","86.8","362","409","88.5","111","135","43.7","1","1.4","16","85","9","1","82","35.000.000 "
"","1990","15","779","908","85.8","13571","2762","390","418","93.3","284","317","80","89","137","90","4","3.9","30","47","22","2","57","35.000.000 "
"James Ward-Prowse","1994","24.7","1154","1457","79.2","21336","6679","499","535","93.3","486","554","87.7","147","327","45","4","4.7","47","111","14","7","85","32.000.000 "
"John McGinn","1994","22.3","644","859","75","15078","5909","208","250","83.2","275","328","83.8","156","266","64.1","2","3.3","35","112","36","10","114","30.000.000 "
